#Table:,,,#Table:,,
 #x(mm)/E(MeV) ,       EdepTotal ,, #x(mm)/E(MeV) ,        E_proton ,       EdepTotal 
993,20979600,,496.5,0,0
995,20753500,,497.5,0,0
997,20462600,,498.5,0,0
999,20114800,,499.5,0,0
1001,19902300,,500.5,0,0
1003,19713300,,,,
1005,19564600,,,,
1007,19243300,,,,
1009,18978200,,,,
1011,18823200,,,,
1013,18605600,,,,
1015,18592700,,,,
1017,18141300,,,,
1019,18253900,,,,
1021,17791000,,,,
1023,17430700,,,,
1025,17408100,,,,
1027,17035900,,,,
1029,16996200,,,,
1031,16773800,,,,
1033,17278500,,,,
1035,16372400,,,,
1037,16296200,,,,
1039,16106000,,,,
1041,15684000,,,,
1043,15801900,,,,
1045,15637900,,,,
1047,15340200,,,,
1049,15205800,,,,
1051,15016900,,,,
1053,14962800,,,,
1055,14912000,,,,
1057,14441700,,,,
1059,14500400,,,,
1061,14509900,,,,
1063,14144100,,,,
1065,13876300,,,,
1067,13976000,,,,
1069,13899100,,,,
1071,13351700,,,,
1073,13307400,,,,
1075,13339200,,,,
1077,13015600,,,,
1079,12853400,,,,
1081,12651600,,,,
1083,12757100,,,,
1085,12409700,,,,
1087,12463100,,,,
1089,12169600,,,,
1091,12088900,,,,
1093,12141900,,,,
1095,11808200,,,,
1097,11457000,,,,
1099,11301300,,,,
1101,11304800,,,,
1103,11297500,,,,
1105,11170300,,,,
1107,11132800,,,,
1109,10883000,,,,
1111,10684200,,,,
1113,10603800,,,,
1115,10553300,,,,
1117,10330100,,,,
1119,10355400,,,,
1121,10285100,,,,
1123,10012800,,,,
1125,9727340,,,,
1127,9883880,,,,
1129,9574840,,,,
1131,9521440,,,,
1133,9836800,,,,
1135,9509180,,,,
1137,9365080,,,,
1139,9077150,,,,
1141,8942310,,,,
1143,8933360,,,,
1145,8885900,,,,
1147,8796900,,,,
1149,8604840,,,,
1151,8693070,,,,
1153,8512170,,,,
1155,8382010,,,,
1157,8223610,,,,
1159,8157110,,,,
1161,8404580,,,,
