#  1,2,3,4,5,6,7,8,9,10
# ,P=0mTorr,P=2mTorr,,P=0mTorr,P=0mTorr,P=2mTorr,P=2mTorr,P=2mTorr,P=2mTorr
# Energy (eV),Intensity (a.u.),Intensity (a.u.), E(MeV) ,        Eforward ,   EforwardInteg ,        Refl-Eforward ,   Refl-EforwardInteg ,        Eforward ,   EforwardInteg 
2.9112,674.974066925053,439.871075350808,2.255E-06,0,1000000,1905,427516,1462,392745
2.9064,690.314386627895,440.987499399922,2.265E-06,0,1000000,1990,425611,1440,391283
2.9016,693.488245876759,467.223464554095,2.275E-06,0,1000000,1925,423621,1429,389843
2.8968,739.244716714547,432.614319031569,2.285E-06,0,1000000,2099,421696,1545,388414
2.892,715.969748889545,463.874192406754,2.295E-06,0,1000000,2014,419597,1542,386869
2.8872,710.679983474772,466.665252529538,2.305E-06,0,1000000,2045,417583,1532,385327
2.8824,677.61894963244,468.339888603208,2.315E-06,0,1000000,2076,415538,1646,383795
2.8776,741.889599421934,505.740094248518,2.325E-06,0,1000000,2092,413462,1592,382149
2.8728,747.179364836707,522.486454985224,2.335E-06,0,1000000,2100,411370,1710,380557
2.868,764.106614163981,466.107040504981,2.345E-06,0,1000000,2130,409270,1673,378847
2.8632,742.154087692672,492.90121768371,2.355E-06,0,1000000,2134,407140,1704,377174
2.8584,748.5018061904,464.43240443131,2.365E-06,0,1000000,2186,405006,1719,375470
2.8536,799.283554172222,478.945917069789,2.375E-06,0,1000000,2288,402820,1734,373751
2.8488,792.406859133017,483.969825290801,2.385E-06,0,1000000,2251,400532,1812,372017
2.844,782.620793115687,503.507246150291,2.395E-06,0,1000000,2243,398281,1692,370205
2.8392,812.772455979894,489.551945536369,2.405E-06,0,1000000,2325,396038,1823,368513
2.8344,827.31931087052,519.137182837883,2.415E-06,0,1000000,2281,393713,1825,366690
2.8296,826.525846058304,522.486454985224,2.425E-06,0,1000000,2392,391432,1972,364865
2.8248,864.347668773932,529.184999279907,2.435E-06,0,1000000,2406,389040,1888,362893
2.82,846.097978092964,585.56441376015,2.445E-06,0,1000000,2397,386634,1923,361005
2.8152,796.638671464836,557.653812532307,2.455E-06,0,1000000,2362,384237,1988,359082
2.8104,860.909321254329,550.397056213067,2.465E-06,0,1000000,2424,381875,2022,357094
2.8056,852.97467313217,596.17044222673,2.475E-06,0,1000000,2496,379451,2035,355072
2.8008,808.540643648075,603.985410570526,2.485E-06,0,1000000,2535,376955,2105,353037
2.796,840.279236136714,557.653812532307,2.495E-06,15,1000000,2590,374420,2130,350932
2.7912,853.768137944386,545.931360016612,2.505E-06,39,999985,2618,371830,2109,348802
2.7864,845.569001551487,615.149651061664,2.515E-06,128,999946,2688,369212,2257,346693
2.7816,883.655312537854,633.012435847483,2.525E-06,220,999818,2692,366524,2236,344436
2.7768,888.945077952627,588.913685907491,2.535E-06,407,999598,2755,363832,2308,342200
2.772,818.855686206883,585.56441376015,2.545E-06,504,999191,2885,361077,2413,339892
2.7672,894.763819908878,604.543622595083,2.555E-06,728,998687,2977,358192,2413,337479
2.7624,861.967274337284,596.17044222673,2.565E-06,862,997959,3015,355215,2586,335066
2.7576,888.41610141115,622.96461940546,2.575E-06,1118,997097,3130,352200,2693,332480
2.7528,871.488852083876,631.896011798369,2.585E-06,1373,995979,3145,349070,2768,329787
2.748,899.789097052912,642.50204026495,2.595E-06,1723,994606,3355,345925,2891,327019
2.7432,861.438297795807,682.135094008487,2.605E-06,1984,992883,3379,342570,2940,324128
2.7384,864.876645315409,678.785821861146,2.615E-06,2343,990899,3419,339191,2961,321188
2.7336,891.325472389275,650.317008608746,2.625E-06,2765,988556,3635,335772,3222,318227
2.7288,935.495013602631,651.43343265786,2.635E-06,3144,985791,3643,332137,3190,315005
2.724,911.162092694674,597.845078300401,2.645E-06,3564,982647,3831,328494,3327,311815
2.7192,956.389586990985,683.251518057601,2.655E-06,3935,979083,3914,324663,3554,308488
2.7144,919.625717358311,655.340916829758,2.665E-06,4595,975148,4101,320749,3548,304934
2.7096,911.691069236151,623.522831430016,2.675E-06,5045,970553,4214,316648,3817,301386
2.7048,923.064064877914,651.991644682416,2.685E-06,5595,965508,4378,312434,3896,297569
2.7,949.777380222518,625.197467503687,2.695E-06,6207,959913,4384,308056,4057,293673
2.6952,935.230525331892,683.809730082158,2.705E-06,6944,953706,4579,303672,4084,289616
2.6904,973.581324588997,627.430315601915,2.715E-06,7498,946762,4740,299093,4293,285532
2.6856,926.237924126778,694.973970573295,2.725E-06,8179,939264,4858,294353,4424,281239
2.6808,918.567764275357,654.782704805201,2.735E-06,8770,931085,4800,289495,4596,276815
2.676,935.230525331892,660.364825050769,2.745E-06,9330,922315,5059,284695,4693,272219
2.6712,1009.55172940945,684.926154131271,2.755E-06,10023,912985,5229,279636,4798,267526
2.6664,940.520290746665,740.189144562401,2.765E-06,10559,902962,5349,274407,5000,262728
2.6616,960.356911052065,708.37105916266,2.775E-06,11118,892403,5272,269058,4867,257728
2.6568,932.585642624506,694.973970573295,2.785E-06,11874,881285,5462,263786,5143,252861
2.652,926.502412397516,677.669397812032,2.795E-06,12724,869411,5570,258324,5233,247718
2.6472,965.382188196099,669.296217443679,2.805E-06,13131,856687,5700,252754,5419,242485
2.6424,951.893286388427,746.329476832526,2.815E-06,13669,843556,5801,247054,5300,237066
2.6376,942.636196912574,708.929271187217,2.825E-06,14265,829887,5726,241253,5583,231766
2.6328,973.581324588997,688.833638303169,2.835E-06,14731,815622,5946,235527,5445,226183
2.628,988.921644291839,702.788938917091,2.845E-06,15611,800891,6030,229581,5678,220738
2.6232,971.465418423088,697.206818671522,2.855E-06,16213,785280,6101,223551,5611,215060
2.6184,961.679352405758,705.021787015318,2.865E-06,16563,769067,6206,217450,5658,209449
2.6136,933.114619165983,730.141328120377,2.875E-06,17165,752504,6131,211244,5725,203791
2.6088,942.371708641836,712.278543334558,2.885E-06,17412,735339,6054,205113,5740,198066
2.604,969.08502398644,715.627815481899,2.895E-06,17938,717927,6132,199059,5863,192326
2.5992,945.5455678907,739.072720513287,2.905E-06,18524,699989,6136,192927,5725,186463
