#Table:,,15eV,15eV,15eV,15eV,15eV,,10eV,10eV,10eV,10eV,10eV
# E(MeV) ,,0mTorr,2mTorr Refl,2mTorr,9.5mTorr Refl,9.5mTorr,,0mTorr,2mTorr Refl,2mTorr,10mTorr Refl,10mTorr
2.805E-06,,10000,9551,8101,7055,4085,,10000,9374,6993,7787,2652
2.815E-06,,10000,9548,8101,7044,4084,,10000,9371,6991,7777,2649
2.825E-06,,10000,9544,8100,7032,4073,,10000,9369,6989,7757,2647
2.835E-06,,10000,9544,8100,7021,4066,,10000,9369,6989,7750,2644
2.845E-06,,10000,9542,8099,7015,4064,,10000,9367,6986,7743,2641
2.855E-06,,10000,9542,8097,7005,4061,,10000,9366,6983,7733,2639
2.865E-06,,10000,9538,8097,6994,4056,,10000,9364,6983,7722,2636
2.875E-06,,10000,9536,8096,6984,4053,,10000,9364,6980,7713,2631
2.885E-06,,10000,9536,8095,6973,4051,,10000,9362,6980,7709,2628
2.895E-06,,10000,9536,8093,6964,4048,,10000,9360,6980,7703,2626
2.905E-06,,10000,9533,8092,6954,4048,,10000,9359,6979,7690,2619
2.915E-06,,10000,9528,8092,6939,4042,,10000,9357,6977,7683,2613
2.925E-06,,10000,9527,8092,6927,4039,,10000,9355,6974,7675,2610
2.935E-06,,10000,9527,8089,6913,4034,,10000,9353,6972,7662,2607
2.945E-06,,10000,9522,8089,6902,4031,,10000,9349,6971,7653,2607
2.955E-06,,10000,9522,8087,6888,4025,,10000,9342,6969,7647,2602
2.965E-06,,10000,9521,8087,6878,4018,,10000,9340,6969,7642,2598
2.975E-06,,10000,9521,8084,6868,4014,,10000,9338,6968,7632,2593
2.985E-06,,10000,9521,8082,6856,4008,,10000,9335,6967,7620,2590
2.995E-06,,10000,9520,8082,6844,4004,,10000,9334,6966,7606,2588
3.005E-06,,10000,9519,8081,6830,4003,,10000,9333,6965,7595,2583
3.015E-06,,10000,9518,8076,6823,4002,,10000,9330,6964,7583,2581
3.025E-06,,10000,9516,8075,6817,4000,,10000,9325,6964,7576,2579
3.035E-06,,10000,9515,8074,6801,3997,,10000,9323,6962,7569,2577
3.045E-06,,10000,9514,8073,6789,3996,,10000,9322,6960,7559,2574
3.055E-06,,10000,9513,8073,6778,3995,,10000,9318,6959,7552,2571
3.065E-06,,10000,9507,8073,6772,3994,,10000,9316,6959,7547,2569
3.075E-06,,10000,9505,8072,6763,3991,,10000,9313,6956,7539,2567
3.085E-06,,10000,9504,8070,6747,3987,,10000,9309,6956,7524,2562
3.095E-06,,10000,9503,8068,6740,3984,,10000,9305,6954,7511,2559
3.105E-06,,10000,9500,8066,6732,3977,,10000,9303,6950,7502,2558
3.115E-06,,10000,9500,8065,6719,3976,,10000,9301,6947,7489,2555
3.125E-06,,10000,9496,8065,6710,3973,,10000,9301,6947,7482,2555
3.135E-06,,10000,9493,8062,6697,3971,,10000,9297,6945,7474,2552
3.145E-06,,10000,9491,8060,6691,3969,,10000,9294,6942,7463,2548
3.155E-06,,10000,9490,8060,6681,3968,,10000,9291,6938,7458,2544
3.165E-06,,10000,9486,8060,6668,3963,,10000,9289,6938,7449,2541
3.175E-06,,10000,9485,8059,6661,3962,,10000,9287,6937,7441,2538
3.185E-06,,10000,9484,8057,6652,3958,,10000,9286,6934,7428,2534
3.195E-06,,10000,9483,8056,6640,3956,,10000,9285,6932,7421,2529
3.205E-06,,10000,9479,8054,6633,3953,,10000,9280,6930,7406,2526
3.215E-06,,10000,9478,8051,6626,3950,,10000,9278,6925,7401,2524
3.225E-06,,10000,9477,8050,6619,3947,,10000,9275,6921,7386,2520
3.235E-06,,10000,9474,8047,6609,3942,,10000,9271,6918,7378,2519
3.245E-06,,10000,9471,8045,6603,3938,,10000,9266,6917,7369,2516
3.255E-06,,10000,9466,8044,6591,3934,,10000,9259,6914,7359,2514
3.265E-06,,10000,9464,8044,6581,3931,,10000,9257,6912,7354,2510
3.275E-06,,10000,9462,8043,6571,3929,,10000,9256,6912,7343,2506
3.285E-06,,10000,9459,8043,6565,3926,,10000,9253,6910,7335,2504
3.295E-06,,10000,9458,8041,6558,3920,,10000,9252,6908,7325,2499
3.305E-06,,10000,9457,8041,6547,3918,,10000,9250,6901,7317,2495
3.315E-06,,10000,9456,8040,6536,3915,,10000,9246,6899,7305,2487
3.325E-06,,10000,9456,8040,6525,3915,,10000,9243,6898,7299,2487
3.335E-06,,10000,9455,8038,6513,3907,,10000,9240,6895,7287,2484
3.345E-06,,10000,9452,8037,6507,3905,,10000,9234,6893,7276,2483
3.355E-06,,10000,9449,8037,6497,3901,,10000,9232,6891,7259,2477
3.365E-06,,10000,9444,8036,6482,3896,,10000,9230,6889,7251,2474
