"# P=5mTorr,SMF",,,,
 # E(MeV) ,   Iforward,   Ibackward,Iforward (old),Ibackward (old)
5.035E-06,365806,41293,366532,41404
5.045E-06,365526,41245,366236,41351
5.055E-06,365227,41185,365900,41301
5.065E-06,364906,41134,365582,41249
5.075E-06,364623,41098,365278,41203
5.085E-06,364332,41048,364949,41139
5.095E-06,364001,40991,364649,41095
5.105E-06,363686,40943,364349,41037
5.115E-06,363413,40898,364069,40978
5.125E-06,363121,40846,363792,40929
5.135E-06,362781,40797,363492,40880
5.145E-06,362472,40737,363179,40823
5.155E-06,362198,40686,362888,40776
5.165E-06,361913,40632,362608,40736
5.175E-06,361596,40572,362291,40677
5.185E-06,361290,40521,361979,40627
5.195E-06,360942,40461,361651,40563
5.205E-06,360664,40398,361371,40505
5.215E-06,360324,40347,361022,40453
5.225E-06,360002,40310,360717,40396
5.235E-06,359723,40263,360424,40343
5.245E-06,359389,40219,360096,40292
5.255E-06,359110,40175,359799,40249
5.265E-06,358809,40136,359511,40191
5.275E-06,358501,40085,359173,40145
5.285E-06,358170,40023,358849,40085
5.295E-06,357869,39973,358595,40036
5.305E-06,357555,39907,358292,39984
5.315E-06,357286,39854,357992,39941
5.325E-06,356981,39796,357679,39876
5.335E-06,356688,39753,357395,39835
5.345E-06,356385,39702,357099,39796
5.355E-06,356078,39644,356786,39734
5.365E-06,355761,39586,356452,39674
5.375E-06,355470,39537,356138,39621
5.385E-06,355182,39488,355845,39570
5.395E-06,354900,39445,355542,39522
5.405E-06,354638,39397,355251,39474
5.415E-06,354355,39344,354959,39423
5.425E-06,354032,39294,354645,39372
5.435E-06,353727,39247,354312,39320
5.445E-06,353433,39205,354015,39282
5.455E-06,353145,39153,353721,39239
5.465E-06,352821,39110,353415,39199
5.475E-06,352518,39053,353115,39157
5.485E-06,352233,38998,352803,39101
5.495E-06,351920,38955,352482,39056
5.505E-06,351597,38911,352170,39007
5.515E-06,351296,38866,351864,38959
5.525E-06,350979,38815,351560,38914
5.535E-06,350694,38768,351266,38869
5.545E-06,350381,38728,350953,38824
5.555E-06,350073,38683,350664,38780
5.565E-06,349785,38631,350368,38731
5.575E-06,349507,38589,350106,38695
5.585E-06,349212,38538,349795,38652
5.595E-06,348893,38491,349510,38604
5.605E-06,348591,38441,349211,38540
5.615E-06,348329,38395,348919,38504
5.625E-06,348038,38346,348602,38447
5.635E-06,347740,38296,348307,38402
5.645E-06,347421,38243,347996,38356
5.655E-06,347163,38198,347715,38311
5.665E-06,346872,38154,347425,38264
5.675E-06,346565,38099,347115,38216
5.685E-06,346247,38060,346817,38169
5.695E-06,345941,38007,346512,38123
5.705E-06,345648,37959,346197,38071
5.715E-06,345370,37911,345918,38026
5.725E-06,345072,37857,345604,37976
5.735E-06,344782,37809,345322,37932
5.745E-06,344486,37764,345019,37886
5.755E-06,344182,37713,344703,37840
5.765E-06,343902,37682,344425,37791
5.775E-06,343607,37642,344133,37741
5.785E-06,343320,37587,343855,37686
5.795E-06,343030,37535,343588,37636
5.805E-06,342737,37484,343285,37580
5.815E-06,342443,37420,343012,37528
5.825E-06,342166,37382,342737,37492
5.835E-06,341878,37337,342459,37448
5.845E-06,341577,37300,342159,37403
5.855E-06,341287,37259,341858,37357
5.865E-06,340995,37210,341580,37301
5.875E-06,340720,37154,341294,37252
5.885E-06,340429,37115,341018,37214
5.895E-06,340146,37077,340749,37164
5.905E-06,339834,37036,340441,37123
5.915E-06,339552,36991,340170,37086
5.925E-06,339269,36943,339875,37035
5.935E-06,338969,36905,339589,36998
5.945E-06,338699,36859,339305,36945
5.955E-06,338411,36813,339004,36906
5.965E-06,338127,36760,338710,36857
5.975E-06,337865,36703,338436,36816
5.985E-06,337584,36659,338152,36775
5.995E-06,337308,36606,337898,36726
6.005E-06,337041,36553,337631,36672
6.015E-06,336755,36508,337362,36626
6.025E-06,336480,36476,337088,36588
6.035E-06,336213,36430,336805,36543
6.045E-06,335915,36381,336535,36491
6.055E-06,335635,36331,336253,36451
6.065E-06,335345,36287,335953,36399
6.075E-06,335065,36252,335662,36357
6.085E-06,334765,36207,335380,36317
6.095E-06,334481,36163,335100,36280
6.105E-06,334162,36125,334790,36240
6.115E-06,333880,36082,334532,36193
6.125E-06,333575,36044,334251,36147
6.135E-06,333302,36004,333982,36101
