#P=2mTorr,,P=5mTorr,
#Energy(eV),Intensity(a.u.),Energy(eV),Intensity(a.u.)
12.77,1138.2525,12.88,498.79
12.7652,1145.5425,12.8752,493.83
12.7604,1153.2375,12.8704,470.27
12.7556,1148.7825,12.8656,480.19
12.7508,1174.7025,12.8608,450.43
12.746,1156.0725,12.856,485.46
12.7412,1131.57,12.8512,466.24
12.7364,1137.8475,12.8464,453.22
12.7316,1150.4025,12.8416,490.42
12.7268,1161.945,12.8368,472.75
12.722,1154.655,12.832,479.26
12.7172,1138.86,12.8272,461.28
12.7124,1169.4375,12.8224,478.64
12.7076,1114.3575,12.8176,480.5
12.7028,1160.73,12.8128,495.07
12.698,1191.7125,12.808,488.56
12.6932,1136.835,12.8032,459.42
12.6884,1153.6425,12.7984,480.19
12.6836,1188.27,12.7936,503.44
12.6788,1140.48,12.7888,485.77
12.674,1124.28,12.784,466.86
12.6692,1149.39,12.7792,477.09
12.6644,1130.1525,12.7744,492.28
12.6596,1155.6675,12.7696,489.18
12.6548,1141.29,12.7648,478.95
12.65,1166.4,12.76,517.39
12.6452,1163.16,12.7552,501.27
12.6404,1136.835,12.7504,459.11
12.6356,1136.835,12.7456,487.94
12.6308,1164.375,12.7408,476.78
12.626,1145.9475,12.736,491.97
12.6212,1139.4675,12.7312,505.3
12.6164,1177.1325,12.7264,484.53
12.6116,1136.835,12.7216,518.94
12.6068,1169.0325,12.7168,470.27
12.602,1141.8975,12.712,501.58
12.5972,1191.7125,12.7072,524.21
12.5924,1162.5525,12.7024,469.96
12.5876,1129.95,12.6976,507.47
12.5828,1145.5425,12.6928,475.23
12.578,1170.45,12.688,476.78
12.5732,1127.925,12.6832,523.28
12.5684,1172.2725,12.6784,491.35
12.5636,1178.3475,12.6736,510.88
12.5588,1173.8925,12.6688,507.16
12.554,1161.7425,12.664,468.41
12.5492,1168.83,12.6592,494.45
12.5444,1180.575,12.6544,516.77
12.5396,1189.08,12.6496,490.73
12.5348,1183.2075,12.6448,491.97
12.53,1188.27,12.64,514.6
12.5252,1174.095,12.6352,487.94
12.5204,1149.39,12.6304,471.51
12.5156,1160.5275,12.6256,491.97
12.5108,1186.8525,12.6208,502.2
12.506,1175.1075,12.616,496.93
12.5012,1169.8425,12.6112,501.89
12.4964,1158.705,12.6064,478.95
12.4916,1168.02,12.6016,516.15
12.4868,1179.1575,12.5968,497.24
12.482,1154.0475,12.592,499.72
12.4772,1132.5825,12.5872,491.35
12.4724,1165.185,12.5824,499.1
12.4676,1144.935,12.5776,484.22
12.4628,1161.54,12.5728,470.58
12.458,1169.235,12.568,520.49
12.4532,1182.195,12.5632,462.21
12.4484,1169.235,12.5584,473.37
12.4436,1191.7125,12.5536,530.72
12.4388,1131.7725,12.5488,511.5
12.434,1175.5125,12.544,511.19
12.4292,1171.4625,12.5392,541.57
