181 33 KTC
     0.1      0.15      0.2       0.3	    0.4	      0.5	0.7	  1         1.5       2         3         4         5         7	        10	  15        20	      30        40        50        70	      100       150       200       300       400       500	  700       1000      2000      5000      10000		   10e6		   
 73 16.7      7.5       3.77      11.8      22        29.7      35.3      34.1      28        22.4      14.3      9.26      5.76      4.44      3.17      0.585     0.459     0.367     0.233     0.147     0.127     0.214     0.211     0.12      0.0239    0.0283    0.0547    0.0755    0.054     0.0133    0.011     0.00403   	   0.00403   	   
 74 16.7      7.48      3.66      11        20.5      27.9      33.2      32.3      26.5      21.2      13.6      8.77      5.99      4.53      3.24      0.638     0.453     0.323     0.196     0.126     0.128     0.218     0.198     0.103     0.0213    0.0383    0.0672    0.082     0.0538    0.0126    0.0106    0.00379   	   0.00379   	   
 75 16.7      7.46      3.58      10.2      19.2      26.1      31.2      30.5      25.1      20.1      12.8      8.29      6.25      4.61      3.31      0.693     0.451     0.285     0.166     0.111     0.132     0.222     0.186     0.0861    0.0212    0.05      0.0803    0.0883    0.0533    0.0122    0.0105    0.00375   	   0.00375   	   
 76 16.6      7.45      3.55      9.55      18        24.4      29.3      28.7      23.8      19        12.1      7.83      6.53      4.7       3.37      0.749     0.453     0.253     0.142     0.1       0.138     0.227     0.174     0.0713    0.0234    0.0628    0.0933    0.0936    0.0522    0.0116    0.0102    0.00351   	   0.00351   	   
 77 16.6      7.43      3.57      8.97      16.8      22.8      27.4      27        22.4      18        11.4      7.37      6.83      4.79      3.41      0.805     0.457     0.226     0.123     0.0944    0.147     0.231     0.163     0.0579    0.0276    0.0767    0.106     0.0986    0.051     0.0113    0.0101    0.00346   	   0.00346   	   
 78 16.6      7.41      3.63      8.46      15.8      21.3      25.7      25.4      21.1      16.9      10.8      6.93      7.13      4.87      3.45      0.863     0.465     0.206     0.111     0.0935    0.158     0.236     0.151     0.0461    0.0335    0.091     0.119     0.102     0.0491    0.011     0.00979   0.00328   	   0.00328   	   
 79 16.6      7.4       3.73      8.02      14.8      19.9      24        23.8      19.9      15.9      10.1      6.5       7.44      4.95      3.48      0.92      0.475     0.191     0.103     0.0969    0.17      0.241     0.141     0.0359    0.0411    0.106     0.131     0.106     0.047     0.0109    0.00959   0.00318   	   0.00318   	   
 80 16.5      7.37      3.88      7.66      14        18.6      22.4      22.3      18.6      15        9.49      6.09      7.75      5.03      3.5       0.976     0.488     0.182     0.102     0.105     0.185     0.245     0.13      0.0272    0.05      0.12      0.142     0.108     0.0445    0.0108    0.00935   0.00308   	   0.00308   	   
 81 16.5      7.36      4.06      7.39      13.3      17.4      20.9      20.9      17.5      14        8.88      5.69      8.05      5.1       3.51      1.03      0.504     0.177     0.105     0.116     0.201     0.249     0.121     0.0199    0.0599    0.134     0.152     0.109     0.0417    0.0107    0.00906   0.00295   	   0.00295   	   
 82 16.5      7.34      4.3       7.2       12.6      16.4      19.5      19.5      16.3      13.1      8.29      5.3       8.35      5.16      3.51      1.09      0.521     0.178     0.113     0.131     0.217     0.253     0.112     0.014     0.0705    0.148     0.161     0.109     0.0388    0.0108    0.00887   0.00291   	   0.00291   	   
 83 16.5      7.32      4.59      7.08      12.1      15.4      18.2      18.2      15.2      12.2      7.72      4.93      8.62      5.22      3.51      1.14      0.54      0.183     0.125     0.15      0.235     0.257     0.103     0.00939   0.0813    0.16      0.168     0.108     0.0355    0.0109    0.00854   0.00274   	   0.00274   	   
 84 16.4      7.3       4.91      7.05      11.7      14.5      17        16.9      14.2      11.4      7.17      4.57      8.89      5.26      3.48      1.19      0.561     0.192     0.142     0.171     0.254     0.261     0.0949    0.00592   0.0924    0.172     0.174     0.106     0.0322    0.0111    0.00838   0.00274   	   0.00274   	   
 85 16.4      7.28      5.28      7.1       11.4      13.8      15.9      15.7      13.2      10.6      6.64      4.23      9.14      5.3       3.45      1.23      0.582     0.205     0.161     0.195     0.273     0.264     0.0873    0.00352   0.103     0.182     0.179     0.102     0.0285    0.0114    0.00807   0.00258   	   0.00258   	   
