         x(mm) ,           EdepX ,   EdepX UnkNown ,        EdepX e- ,        EdepX e+ ,  Transportation ,         Elastic ,      ExcitRotat ,     ExcitVibrat ,      Excitation ,     DissocNeutr ,            Ioni ,      Attachment ,    Annihilation ,     Positronium ,
        0.004975 ,         238.186 ,               0 ,         109.141 ,         129.045 ,               0 ,            2052 ,            3581 ,              72 ,               1 ,               3 ,              10 ,               0 ,               0 ,               0 ,
        0.004985 ,         541.872 ,               0 ,         334.946 ,         206.926 ,               0 ,            3342 ,            6470 ,             101 ,               2 ,              13 ,              14 ,               0 ,               0 ,               0 ,
        0.004995 ,         1382.83 ,               0 ,         576.843 ,         805.983 ,               0 ,            4129 ,            6830 ,             138 ,               9 ,              27 ,              45 ,               3 ,               0 ,               0 ,
        0.005005 ,         184.955 ,               0 ,         157.546 ,         27.4096 ,               0 ,            2249 ,            4081 ,              78 ,               0 ,               3 ,               4 ,               1 ,               0 ,               1 ,
        0.005015 ,         206.479 ,               0 ,         152.517 ,         53.9624 ,               0 ,            1303 ,            2390 ,              35 ,               1 ,               6 ,               5 ,               0 ,               0 ,               0 ,
        0.005025 ,         42.5827 ,               0 ,          7.7927 ,           34.79 ,               0 ,             205 ,             508 ,               2 ,               0 ,               1 ,               1 ,               0 ,               0 ,               0 ,
        0.005035 ,         64.5347 ,               0 ,         53.7446 ,         10.7901 ,               0 ,             387 ,             936 ,              17 ,               0 ,               1 ,               3 ,               0 ,               0 ,               0 ,
        0.005045 ,         168.125 ,               0 ,         53.8738 ,         114.251 ,               0 ,            1033 ,            2037 ,              39 ,               0 ,               3 ,               5 ,               0 ,               0 ,               0 ,
        0.005055 ,         178.223 ,               0 ,         96.4805 ,         81.7425 ,               0 ,            1392 ,            2343 ,              39 ,               0 ,               3 ,               8 ,               0 ,               0 ,               0 ,
        0.005065 ,         142.878 ,               0 ,         60.6965 ,         82.1812 ,               0 ,            1432 ,            2247 ,              50 ,               1 ,               1 ,               7 ,               0 ,               0 ,               0 ,
        0.005075 ,         118.854 ,               0 ,         87.2388 ,         31.6149 ,               0 ,            1180 ,            2064 ,              43 ,               1 ,               1 ,               5 ,               0 ,               0 ,               0 ,
        0.005085 ,         141.776 ,               0 ,         66.2231 ,         75.5524 ,               0 ,            1055 ,            1747 ,              27 ,               3 ,               0 ,               8 ,               0 ,               0 ,               0 ,
        0.005095 ,          302.77 ,               0 ,         156.267 ,         146.503 ,               0 ,            1160 ,            2067 ,              42 ,               1 ,               8 ,               8 ,               1 ,               0 ,               1 ,
        0.005105 ,         11.3341 ,               0 ,         11.3341 ,               0 ,               0 ,             355 ,             677 ,               6 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
        0.005115 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
        0.005125 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
        0.005135 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
        0.005145 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
        0.005155 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
        0.005165 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
        0.005175 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
        0.005185 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
        0.005195 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,
