
#set lw 2
#plot 'e20.txt' u 1:2 w li ti 'SinAbsorb', 'e20.txt' u 1:3 w li ti 'G4 MSC', 'e20.txt' u 1:4 w li ti 'G4 SingleSC', 'e20.txt' u 1:5 w li ti 'LEPTS'
		    
#E(keV)       el0     el20        el20s         el20lpt
       		   
 509.5         7290   5230         4306           6258
 510.5         7421   5010         4678           4350
 511.5         7250   4960         4660           5103
 512.5         7245   5060         4695           5503
 513.5         6828   4867         4333           5122
 514.5         6644   4600         4810           6118
 515.5         6628   4730         4440           5470
 516.5         6476   4770         4298           5431
 517.5         6629   4900         4071           5250
 518.5         6834   4590         4162           5021
 519.5         6669   4410         4140           6159
 520.5         6623   4261         4214           5418
 521.5         6115   4370         3760           4953
 522.5         6178   4620         4037           5216
 523.5         6314   4830         4224           3968
 524.5         6272   4510         4210           4536
 525.5         6011   4170         3843           4982
 526.5         6022   4300         3780           4451
 527.5         6071   4170         3482           4572
 528.5         6077   4310         3620           5089
 529.5         5960   3520         3861           3995
 530.5         5583   4430         3763           5591
 531.5         5914   4290         3630           5452
 532.5         5622   4053         3320           5271
 533.5         5664   3890         3320           4057
 534.5         5582   3830         3783           4836
 535.5         5376   3540         3174           3948
 536.5         5475   3837         3520           5541
 537.5         5153   3660         3180           4414
 538.5         5413   3480         3284           3790
 539.5         5298   3690         3501           4096
 540.5         5212   3640         3320           3544
 541.5         5123   3251         3326           4292
 542.5         5168   3720         3462           4128
 543.5         5305   3390         2950           4677
 544.5         5130   3670         2982           3864
 545.5         4912   3582         3123           4387
 546.5         5126   3540         2840           3536
 547.5         5004   3020         3012           4064
 548.5         4773   2960         3181           3574
 549.5         4856   3280         3045           5997
 550.5         4741   2990         2757           3365
 551.5         4609   3050         2559           2594
 552.5         4453   2960         2456           4430
 553.5         4555   3040         2413           3488
 554.5         4418   2760         2630           4651
 555.5         4255   2650         2570           4581
 556.5         4518   2520         2505           3789
 557.5         4394   2920         2481           3506
 558.5         4270   2790         2387           3303
 559.5         4482   2820         2304           2666
 560.5         4210   2680         2074           3906
 561.5         4139   2640         2380           4224
 562.5         4060   2370         2254           3923
 563.5         3941   2410         2280           3477
 564.5         3785   2420         2180           2422
 565.5         3888   2060         2222           2867
 566.5         3895   2540         2240           3322
 567.5         3810   2280         1983           3044
 568.5         3914   2173         2030           2412
 569.5         4079   2250         2109           3606
 570.5         3791   2260         1950           2464
 571.5         3693   2380         1804           3579
 572.5         3646   2160         2033           2735
 573.5         3629   2130         1900           3655
 574.5         3577   2080         2026           2503
 575.5         3535   2107         1840           3731
 576.5         3402   1710         1623           2516
 577.5         3506   1780         1844           2620
